day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
95,8.529,7.892,7.575,8.470,7.497,8.834,8.290,7.305,8.649,9.303,7.769,8.395,7.737,7.054,7.002,7.830,7.806,7.030,8.842,7.572,9.163,9.393,7.853,7.642,7.961,7.658,,8.255,7.103,9.432
96,8.654,8.004,7.635,8.729,7.615,8.669,8.308,7.414,8.613,9.480,7.938,8.497,7.969,7.008,7.165,8.048,7.943,6.945,8.977,7.795,9.315,9.331,8.062,7.806,7.998,7.785,,8.382,7.243,9.293
97,8.642,8.204,7.825,8.759,7.711,8.736,8.295,7.664,8.705,9.650,8.064,8.459,8.091,7.078,7.370,8.218,7.924,6.999,8.964,7.987,9.458,9.536,8.297,8.031,8.064,7.995,,8.557,7.280,9.085
98,8.746,8.600,8.029,8.725,7.680,8.777,8.314,7.922,8.790,9.865,8.071,8.531,8.207,7.176,7.578,8.361,8.005,7.016,9.044,8.380,9.583,9.738,8.320,8.003,8.153,8.235,,8.741,7.478,9.058
99,8.825,8.983,8.008,8.866,7.563,9.004,8.404,8.259,9.059,9.984,8.120,8.714,8.263,7.222,7.742,8.442,8.104,7.202,9.353,8.748,9.748,10.068,8.330,8.087,8.301,8.575,,8.758,7.695,9.203
100,9.021,9.258,8.092,8.991,7.587,9.275,8.375,8.405,9.295,10.147,8.247,8.718,8.230,7.321,7.822,8.529,8.038,7.520,9.423,8.798,9.866,10.376,8.403,8.086,8.508,8.896,,8.695,7.735,9.380
101,9.171,9.358,8.200,9.091,7.740,9.499,8.380,8.577,9.427,10.317,8.411,8.665,8.370,7.357,7.843,8.669,7.933,7.749,9.497,8.891,9.820,10.631,8.451,8.107,8.865,9.220,,8.609,7.731,9.657
102,9.333,9.288,8.371,9.228,8.120,9.843,8.445,8.800,9.539,10.380,8.507,8.698,8.344,7.493,7.979,8.983,7.975,7.930,9.600,9.190,9.808,10.738,8.415,8.095,9.176,9.331,,8.448,7.713,9.914
103,9.283,9.254,8.658,9.204,8.338,10.070,8.415,9.178,9.718,10.596,8.657,8.832,8.476,7.801,8.078,9.133,8.064,7.966,9.479,9.463,9.831,10.883,8.384,8.143,9.243,9.403,,8.396,7.694,9.998
104,9.292,9.521,8.796,8.997,8.420,10.323,8.356,9.521,9.856,10.884,8.845,8.916,8.750,8.079,8.003,9.238,7.970,8.030,9.420,9.555,9.698,11.139,8.437,8.308,9.178,9.578,,8.515,7.986,9.903
105,9.488,9.742,9.067,9.062,8.390,10.177,8.355,9.473,10.094,11.035,8.995,8.900,8.858,8.223,8.081,9.532,8.018,8.232,9.477,9.626,9.732,11.155,8.563,8.521,9.089,9.715,,8.694,8.234,9.970
106,9.706,9.900,9.179,9.221,8.526,10.049,8.544,9.507,10.171,10.908,9.091,8.825,8.958,8.129,8.573,9.835,8.048,8.466,9.422,9.767,9.844,11.043,8.617,8.593,9.240,9.829,,8.754,8.386,10.094
107,,10.158,9.229,9.490,8.858,10.253,8.751,9.640,10.150,10.684,9.233,8.850,8.986,8.171,9.048,9.988,8.037,8.598,9.336,9.800,9.990,11.128,8.747,8.685,9.562,10.213,,8.822,8.479,10.237
108,,10.304,9.371,9.880,9.185,10.414,9.040,9.899,10.237,10.883,9.417,8.985,9.203,8.280,9.325,10.122,8.173,8.456,9.288,9.995,10.315,11.398,8.966,8.764,10.021,10.307,,8.869,8.546,10.349
109,,10.233,9.242,10.076,9.165,10.690,9.248,9.963,10.348,10.967,9.597,9.055,9.377,8.449,9.489,10.310,8.223,8.364,9.337,9.966,10.627,11.710,9.097,8.952,10.417,10.348,,8.899,8.643,10.493
110,,10.221,9.342,10.348,9.188,10.760,9.388,9.967,10.485,11.060,9.826,9.080,9.497,8.485,9.667,10.361,8.344,8.597,9.407,9.919,10.860,11.924,9.084,9.234,10.695,10.480,,8.726,8.624,10.716
111,,10.213,9.542,10.609,9.320,10.932,9.515,9.962,10.595,11.106,10.100,9.156,9.563,8.590,9.872,10.124,8.355,8.875,9.513,10.001,10.929,12.103,9.410,9.508,10.833,10.773,,8.744,8.664,10.921
112,,10.267,9.825,10.819,9.584,11.083,9.613,10.015,10.693,11.207,10.399,9.301,9.756,8.749,9.959,10.143,8.402,9.178,9.513,10.044,10.968,12.128,9.546,9.790,10.832,10.937,,8.894,9.018,11.172
113,,10.096,9.954,10.882,9.976,11.164,9.607,9.865,10.896,11.500,10.500,9.450,9.947,8.708,9.857,10.275,8.546,9.589,9.659,9.966,10.854,12.016,9.723,9.890,10.939,11.080,,9.210,9.306,11.315
114,,9.838,10.175,10.771,10.231,11.056,9.780,9.792,10.792,11.570,10.566,9.712,10.133,8.712,9.817,10.590,8.846,9.934,9.753,9.956,10.711,11.890,9.812,10.037,11.083,11.195,,9.498,9.559,11.303
115,8.700,9.679,10.475,10.865,10.539,10.865,10.128,9.850,10.617,11.461,10.671,9.843,10.171,8.790,9.889,10.820,9.035,10.222,9.955,9.990,10.693,11.945,9.944,10.337,11.113,11.449,,9.667,9.897,11.287
116,8.467,9.683,10.800,10.930,10.619,10.813,10.583,9.823,10.597,11.656,10.977,9.824,10.295,9.040,9.936,11.003,9.070,10.471,10.277,10.030,10.904,11.869,10.067,10.683,11.340,11.751,,9.589,10.338,11.376
117,8.550,9.700,10.681,11.258,10.540,10.932,10.869,9.848,10.658,11.969,11.306,10.021,10.600,9.390,9.908,11.075,9.199,10.560,10.638,9.949,11.315,11.743,10.118,10.868,11.490,11.973,,9.575,10.612,11.600
118,8.500,9.913,10.635,11.687,10.511,10.925,11.123,9.968,10.745,12.185,11.524,10.266,10.823,9.497,9.978,11.264,9.293,10.614,10.832,9.995,11.708,11.786,10.239,10.925,11.598,12.170,,9.708,10.831,11.766
119,8.250,10.096,10.652,12.077,10.726,10.884,11.184,10.159,10.845,12.097,11.468,10.555,10.963,9.673,10.093,11.268,9.317,10.806,10.843,10.220,11.963,11.973,10.385,11.035,11.859,12.413,,9.652,11.105,11.782
